s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2419564.0,4500012.0,3912498.0,5743658.0,468506.0,890658.0,703367.0,1053557.0,0.017543859779834747,58.0
2545806.0,4735611.0,4116278.0,6043397.0,491751.0,936306.0,740009.0,1106629.0,0.017543859779834747,59.0
2546929.0,4738762.0,4119546.0,6050188.0,491841.0,937492.0,739905.0,1109000.0,0.0,59.0
2546611.0,4736389.0,4116982.0,6045362.0,491347.0,936350.0,739808.0,1106803.0,0.017543859779834747,59.0
2418881.0,4503082.0,3914833.0,5748698.0,467368.0,890456.0,704291.0,1053083.0,0.017543859779834747,59.0
2547139.0,4738303.0,4119111.0,6050079.0,491547.0,936370.0,738325.0,1107921.0,0.0,59.0
2545140.0,4734888.0,4117457.0,6046649.0,491135.0,935820.0,739358.0,1108043.0,0.0,59.0
2542070.0,4729627.0,4112004.0,6037473.0,490189.0,933324.0,737766.0,1103268.0,0.017543859779834747,59.0
2540705.0,4727615.0,4109471.0,6034298.0,489394.0,933055.0,736936.0,1103194.0,0.017543859779834747,59.0
2537239.0,4721734.0,4104396.0,6024377.0,489009.0,930636.0,734568.0,1100233.0,0.017543859779834747,59.0
2535627.0,4719040.0,4101767.0,6021358.0,488353.0,930889.0,734806.0,1099571.0,0.017543859779834747,60.0
2405075.0,4478367.0,3890749.0,5708193.0,461850.0,882627.0,695781.0,1040926.0,0.0,60.0
2530365.0,4711561.0,4094433.0,6007142.0,486238.0,928403.0,733241.0,1094934.0,0.017543859779834747,60.0
2528086.0,4706181.0,4088418.0,5996037.0,484629.0,925524.0,730342.0,1091614.0,0.017543859779834747,60.0
2526095.0,4705820.0,4087432.0,5995170.0,484427.0,925551.0,730267.0,1091161.0,0.017543859779834747,60.0
2522673.0,4699227.0,4081379.0,5982918.0,483036.0,922775.0,727051.0,1085710.0,0.017543859779834747,60.0
2522698.0,4700293.0,4082004.0,5985623.0,483430.0,923862.0,728695.0,1089509.0,0.0,60.0
2522058.0,4696740.0,4079024.0,5980687.0,483832.0,921127.0,727211.0,1087023.0,0.017543859779834747,60.0
2521596.0,4697729.0,4082152.0,5984188.0,482583.0,922800.0,727699.0,1086776.0,0.017543859779834747,60.0
2520575.0,4696985.0,4080210.0,5980280.0,481735.0,922782.0,726699.0,1085729.0,0.0,60.0
2521462.0,4698739.0,4082753.0,5987766.0,483517.0,923205.0,728641.0,1088731.0,0.017543859779834747,60.0
2521788.0,4697732.0,4081062.0,5983359.0,483757.0,922910.0,727538.0,1087491.0,0.017543859779834747,60.0
2524064.0,4702647.0,4085189.0,5991482.0,484413.0,924587.0,728866.0,1091471.0,0.0,59.0
2521555.0,4696626.0,4079414.0,5981464.0,484009.0,922280.0,726316.0,1086380.0,0.017543859779834747,59.0
2393101.0,4460109.0,3874643.0,5681505.0,458217.0,875180.0,690086.0,1031837.0,0.017543859779834747,59.0
2516625.0,4690026.0,4072017.0,5968432.0,480894.0,919072.0,724197.0,1081724.0,0.017543859779834747,59.0
2515669.0,4688671.0,4071339.0,5968952.0,481999.0,920432.0,725444.0,1083771.0,0.017543859779834747,59.0
2511943.0,4682777.0,4066031.0,5959660.0,480278.0,918724.0,724005.0,1081916.0,0.0,59.0
2515446.0,4688151.0,4072321.0,5971690.0,483348.0,922002.0,727566.0,1086854.0,0.017543859779834747,59.0
2514566.0,4686753.0,4070957.0,5968443.0,482586.0,921486.0,726138.0,1086025.0,0.0,59.0
2516681.0,4690808.0,4072824.0,5972421.0,483915.0,923036.0,727681.0,1087544.0,0.017543859779834747,59.0
2514378.0,4686637.0,4069647.0,5964830.0,481600.0,920777.0,726191.0,1084375.0,0.017543859779834747,59.0
2516762.0,4690281.0,4075532.0,5974866.0,482148.0,922478.0,727814.0,1087797.0,0.0,59.0
2516822.0,4689582.0,4072634.0,5971501.0,480961.0,920560.0,726873.0,1086122.0,0.0,59.0
2519032.0,4693826.0,4077399.0,5979635.0,481806.0,923669.0,728091.0,1087102.0,0.0,60.0
2519270.0,4694212.0,4077958.0,5981322.0,482952.0,922774.0,727756.0,1088217.0,0.017543859779834747,60.0
2520683.0,4697978.0,4081990.0,5985819.0,484153.0,924338.0,728298.0,1088568.0,0.017543859779834747,60.0
2522560.0,4700314.0,4083976.0,5993721.0,484662.0,924987.0,728135.0,1090581.0,0.0,60.0
2396289.0,4465242.0,3879685.0,5691764.0,460468.0,878873.0,692552.0,1035775.0,0.017543859779834747,60.0
2396289.0,4465242.0,3879685.0,5691764.0,460468.0,878873.0,692552.0,1035775.0,0.017543859779834747,60.0
2523161.0,4701670.0,4085730.0,5994439.0,484174.0,924370.0,728909.0,1091876.0,0.0,61.0
2522763.0,4701610.0,4085693.0,5994979.0,483820.0,925440.0,730555.0,1093293.0,0.0,61.0
2521185.0,4698792.0,4081933.0,5987484.0,483955.0,924193.0,728636.0,1090165.0,0.0,61.0
2519897.0,4696108.0,4080425.0,5984730.0,483300.0,924187.0,728481.0,1089995.0,0.0,61.0
2518225.0,4693315.0,4076713.0,5978664.0,482761.0,922708.0,728207.0,1089689.0,0.0,61.0
2519804.0,4694384.0,4078858.0,5983102.0,484045.0,924009.0,728842.0,1090075.0,0.017543859779834747,61.0
2517282.0,4691377.0,4075618.0,5977307.0,484439.0,922801.0,728040.0,1089603.0,0.017543859779834747,62.0
2519700.0,4696584.0,4081929.0,5987240.0,483494.0,925007.0,729860.0,1093722.0,0.0,62.0
2518694.0,4694644.0,4079245.0,5982580.0,483177.0,922791.0,729314.0,1090246.0,0.017543859779834747,62.0
2520926.0,4699460.0,4085612.0,5992535.0,484212.0,926091.0,730786.0,1093800.0,0.0,62.0
2520924.0,4697894.0,4081585.0,5987702.0,485271.0,924767.0,729065.0,1092581.0,0.0,62.0
2523273.0,4703303.0,4087729.0,5997883.0,484165.0,926005.0,731307.0,1095335.0,0.0,62.0
2521596.0,4698859.0,4083001.0,5988494.0,484649.0,925820.0,730283.0,1092950.0,0.0,62.0
